Time,Temperature (°C),Humidity (%),Status
15:24:47,30.0,47.0,FAILURE
15:24:48,29.9,47.0,FAILURE
15:24:51,29.9,47.0,FAILURE
15:24:52,29.9,47.0,FAILURE
15:24:55,29.9,47.0,FAILURE
15:24:56,29.9,47.0,FAILURE
15:24:59,29.9,47.0,FAILURE
15:25:00,29.9,47.0,FAILURE
15:25:03,29.9,47.0,FAILURE
15:25:04,29.9,47.0,FAILURE
15:25:07,29.9,47.0,FAILURE
15:25:08,29.9,47.0,FAILURE
15:25:11,29.9,47.0,FAILURE
15:25:12,29.9,47.0,FAILURE
15:25:15,29.9,47.0,FAILURE
15:25:16,29.9,47.0,FAILURE
15:25:19,29.9,47.0,FAILURE
15:25:20,29.9,47.0,FAILURE
15:25:23,29.9,47.0,FAILURE
15:25:24,29.9,47.0,FAILURE
15:25:26,29.9,47.0,FAILURE
15:25:29,29.9,47.0,FAILURE
15:25:30,29.9,47.0,FAILURE
15:25:33,29.9,47.0,FAILURE
15:25:34,29.9,47.0,FAILURE
15:25:38,29.9,47.0,FAILURE
15:25:39,29.9,47.0,FAILURE
15:25:42,29.9,47.0,FAILURE
15:25:43,29.9,47.0,FAILURE
15:25:46,29.9,47.0,FAILURE
15:25:47,29.9,47.0,FAILURE
15:25:50,29.9,47.0,FAILURE
15:25:51,29.9,47.0,FAILURE
15:25:54,29.9,47.0,FAILURE
15:25:55,29.9,47.0,FAILURE
15:25:58,29.9,47.0,FAILURE
15:25:59,29.9,47.0,FAILURE
15:26:02,29.9,47.0,FAILURE
15:26:03,29.9,47.0,FAILURE
15:26:06,29.9,47.0,FAILURE
15:26:07,29.9,47.0,FAILURE
15:26:10,29.9,47.0,FAILURE
15:26:11,29.9,47.0,FAILURE
15:26:14,29.9,47.0,FAILURE
15:26:15,29.9,47.0,FAILURE
15:26:18,29.9,47.0,FAILURE
15:26:19,29.9,47.0,FAILURE
15:26:22,29.9,47.0,FAILURE
15:26:23,29.9,47.0,FAILURE
